PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Total Spend,Delivery Days,Order Month,Negotiation Savings,Defect Rate %
PO-00001,Alpha_Inc,17-10-2023,25-10-2023,Office Supplies,Cancelled,1176,20.13,17.81,,Yes,23672.88,8,Oct-23,2728.32,0%
PO-00002,Delta_Logistics,25-04-2022,05-05-2022,Office Supplies,Delivered,1509,39.32,37.34,235,Yes,59333.88,10,Apr-22,2987.82,16%
PO-00003,Gamma_Co,26-01-2022,15-02-2022,MRO,Delivered,910,95.51,92.26,41,Yes,86914.1,20,Jan-22,2957.5,5%
PO-00004,Beta_Supplies,09-10-2022,28-10-2022,Packaging,Delivered,1344,99.85,95.52,112,Yes,134198.4,19,Oct-22,5819.52,8%
PO-00005,Delta_Logistics,08-09-2022,20-09-2022,Raw Materials,Delivered,1180,64.07,60.53,171,No,75602.6,12,Sep-22,4177.2,14%
PO-00006,Epsilon_Group,17-08-2022,29-08-2022,MRO,Delivered,1145,69.21,63.57,39,Yes,79245.45,12,Aug-22,6457.8,3%
PO-00007,Gamma_Co,23-05-2022,03-06-2022,MRO,Delivered,1774,51.37,47.82,96,No,91130.38,11,May-22,6297.7,5%
PO-00008,Alpha_Inc,15-04-2022,29-04-2022,MRO,Delivered,1094,36.93,32.78,22,Yes,40401.42,14,Apr-22,4540.1,2%
PO-00009,Gamma_Co,24-11-2023,28-11-2023,Raw Materials,Partially Delivered,1688,43.93,39.89,89,Yes,74153.84,4,Nov-23,6819.52,5%
PO-00010,Gamma_Co,13-07-2023,25-07-2023,Raw Materials,Pending,171,76.87,70.2,8,Yes,13144.77,12,Jul-23,1140.57,5%
PO-00011,Epsilon_Group,31-03-2022,15-04-2022,Raw Materials,Delivered,5000,78.49,73.68,18,Yes,392450,15,Mar-22,24050,0%
PO-00012,Beta_Supplies,28-08-2023,11-09-2023,Raw Materials,Delivered,5000,88.96,86.58,115,Yes,444800,14,Aug-23,11900,2%
PO-00013,Beta_Supplies,09-03-2023,26-03-2023,Electronics,Pending,5000,86.74,74.86,51,Yes,433700,17,Mar-23,59400,1%
PO-00014,Beta_Supplies,02-02-2022,,MRO,Delivered,5000,18.3,16.88,,Yes,91500,-44594,Feb-22,7100,0%
PO-00015,Delta_Logistics,31-01-2022,18-02-2022,Electronics,Pending,5000,54.5,48.45,22,Yes,272500,18,Jan-22,30250,0%
PO-00016,Beta_Supplies,06-04-2022,21-04-2022,Packaging,Delivered,5000,15.41,15.12,,Yes,77050,15,Apr-22,1450,0%
PO-00017,Delta_Logistics,12-08-2022,31-08-2022,MRO,Delivered,1173,61.54,55.49,172,No,72186.42,19,Aug-22,7096.65,15%
PO-00018,Epsilon_Group,27-08-2022,04-09-2022,Raw Materials,Delivered,921,51.48,50.61,,Yes,47413.08,8,Aug-22,801.27,0%
PO-00019,Gamma_Co,02-06-2023,05-06-2023,Raw Materials,Partially Delivered,1737,97.53,87.37,79,Yes,169409.61,3,Jun-23,17647.92,5%
PO-00020,Delta_Logistics,09-09-2023,24-09-2023,Raw Materials,Delivered,180,45.74,38.89,,No,8233.2,15,Sep-23,1233,0%
PO-00021,Epsilon_Group,28-01-2022,12-02-2022,Electronics,Cancelled,1735,20.54,19.69,49,Yes,35636.9,15,Jan-22,1474.75,3%
PO-00022,Delta_Logistics,29-07-2023,11-08-2023,Raw Materials,Delivered,1382,24.93,23.75,,Yes,34453.26,13,Jul-23,1630.76,0%
PO-00023,Epsilon_Group,23-07-2022,08-08-2022,MRO,Delivered,819,80.89,77.03,29,Yes,66248.91,16,Jul-22,3161.34,4%
PO-00024,Beta_Supplies,28-10-2023,03-11-2023,Office Supplies,Partially Delivered,393,72.53,66.31,42,No,28504.29,6,Oct-23,2444.46,11%
PO-00025,Beta_Supplies,20-12-2023,01-01-2024,MRO,Delivered,1565,21.3,20.09,161,Yes,33334.5,12,Dec-23,1893.65,10%
PO-00026,Epsilon_Group,13-07-2023,24-07-2023,Packaging,Delivered,1487,19.15,17.24,,Yes,28476.05,11,Jul-23,2840.17,0%
PO-00027,Alpha_Inc,06-03-2023,26-03-2023,MRO,Delivered,855,78.2,67.16,17,Yes,66861,20,Mar-23,9439.2,2%
PO-00028,Epsilon_Group,14-08-2022,23-08-2022,Raw Materials,Delivered,435,17.13,15.84,8,Yes,7451.55,9,Aug-22,561.15,2%
PO-00029,Delta_Logistics,05-04-2023,22-04-2023,MRO,Delivered,1265,90.26,79.47,187,Yes,114178.9,17,Apr-23,13649.35,15%
PO-00030,Epsilon_Group,27-08-2023,,MRO,Delivered,1005,80.55,73.31,30,Yes,80952.75,-45165,Aug-23,7276.2,3%
PO-00031,Gamma_Co,12-10-2022,26-10-2022,Electronics,Delivered,326,18.1,15.92,,No,5900.6,14,Oct-22,710.68,0%
PO-00032,Alpha_Inc,07-01-2022,15-01-2022,Office Supplies,Delivered,1234,17.64,15.66,26,Yes,21767.76,8,Jan-22,2443.32,2%
PO-00033,Epsilon_Group,13-06-2022,29-06-2022,MRO,Delivered,509,101.27,97.82,19,Yes,51546.43,16,Jun-22,1756.05,4%
PO-00034,Alpha_Inc,16-12-2023,17-12-2023,Packaging,Delivered,1387,48.71,43.71,27,Yes,67560.77,1,Dec-23,6935,2%
PO-00035,Alpha_Inc,09-03-2023,17-03-2023,MRO,Delivered,71,46.39,43.18,0,Yes,3293.69,8,Mar-23,227.91,0%
PO-00036,Epsilon_Group,15-12-2022,23-12-2022,Office Supplies,Delivered,302,87.73,81.52,9,Yes,26494.46,8,Dec-22,1875.42,3%
PO-00037,Epsilon_Group,12-10-2022,31-10-2022,Office Supplies,Pending,797,99.54,91.37,18,Yes,79333.38,19,Oct-22,6511.49,2%
PO-00038,Beta_Supplies,09-06-2022,27-06-2022,Office Supplies,Pending,906,101.21,90.9,94,Yes,91696.26,18,Jun-22,9340.86,10%
